# 中国历史地名大辞典
# 复旦大学历史地理研究所编《中国历史地名辞典》，江西教育出版社，1986年
# https://forum.freemdict.com/t/topic/12460
# https://forum.freemdict.com/t/topic/14497
# https://github.com/rime-aca/corpus/blob/master/中國歷史地名辭典.txt
# 地名	繁体	序号	页码

大基县	(大基縣)	823	0036
大营镇	(大營鎮)	824	0036
大雪山		825	0036
大野泽	(大野澤)	826	0036
大铜山	(大銅山)	827	0037
大斛关	(大斛關)	828	0037
大庾县	(大庾縣)	829	0037
大庾岭	(大庾嶺)	830	0037
大庾镇	(大庾鎮)	831	0037
大鹿墩		832	0037
大唐峰		833	0037
大庸卫	(大庸衛)	834	0037
大望驿	(大望驛)	835	0037
大清池		836	0037
大清河		837	0037
大清渠		838	0037
大寅县	(大寅縣)	839	0037
大梁水		840	0037
大梁城		841	0037
大隍站		842	0037
大隗山		843	0037
大堤城		844	0037
大彭国	(大彭國)	845	0037
大获城	(大獲城)	846	0037
大落城		847	0037
大雁塔		848	0038
大赉厅	(大賚廳)	849	0038
大赉县	(大賚縣)	850	0038
大帽山		851	0038
大黍堡		852	0038
大锅山	(大鍋山)	853	0038
大皋城		854	0038
大堡津		855	0038
大斌县	(大斌縣)	856	0038
大港镇	(大港鎮)	857	0038
大湖山		858	0038
大渡水		859	0038
大渡县	(大渡縣)	860	0038
大寒岭	(大寒嶺)	861	0038
大寒郡		862	0038
大谢山	(大謝山)	863	0038
大谢戍	(大謝戍)	864	0038
大谢岛	(大謝島)	865	0038
大塘汛		866	0038
大楼山	(大樓山)	867	0038
大雷山		868	0038
大雷戍		869	0038
大雾山	(大霧山)	870	0038
大嵩卫	(大嵩衛)	871	0038
大𩇵山	(大{非/古}山)	872	0038
大筼筜	(大篔簹)	873	0038
大笮县	(大筰縣)	874	0039
大解城		875	0039
大廉山		876	0039
大廉县	(大廉縣)	877	0039
大寨寅		878	0039
大隧山		879	0039
大隧隘		880	0039
大墩子		881	0039
大横关	(大橫關)	882	0039
大横驿	(大橫驛)	883	0039
大震关	(大震關)	884	0039
大播州		885	0039
大黎里		886	0039
大德营	(大德營)	887	0039
大潭县	(大潭縣)	888	0039
大潭城		889	0039
大磨山		890	0039
大藤峡	(大藤峽)	891	0039
大踪湖	(大蹤湖)	892	0039
大镬洲	(大鑊洲)	893	0039
大万寿寺	(大萬壽寺)	894	0039
大小榆谷		895	0039
大斗拔谷		896	0039
大宁都司	(大寧都司)	897	0039
大宁盐场	(大寧鹽場)	898	0039
大同左卫	(大同左衛)	899	0039
大同右卫	(大同右衛)	900	0040
大佛头山	(大佛頭山)	901	0040
