# 国家地名信息库·月球地名
# https://dmfw.mca.gov.cn/moon.html
#
# 标准译名	国际通用名	地形类别

德福雷斯特	De Forest	环形山、坑
德赖登	Dryden	环形山、坑
德朗布尔	Delambre	环形山、坑
蒂塞利乌斯	Tiselius	环形山、坑
蒂森	Thiessen	环形山、坑
杜比亚戈	Dubyago	环形山、坑
杜根	Dugan	环形山、坑
杜奈尔	Dunér	环形山、坑
杜瓦	Dewar	环形山、坑
多佩尔迈尔	Doppelmayer	环形山、坑
厄拉多塞	Eratosthenes	环形山、坑
菲茨杰拉德	Fitzgerald	环形山、坑
菲尔索夫	Firsov	环形山、坑
菲洛劳斯	Philolaus	环形山、坑
芬宁梅因纳斯	Vening Meinesz	环形山、坑
芬森	Finsen	环形山、坑
冯·布劳恩	von Braun	环形山、坑
冯·蔡佩尔	Von Zeipel	环形山、坑
冯·德·帕伦	Von der Pahlen	环形山、坑
夫琅和费	Fraunhofer	环形山、坑
弗拉·毛罗	Fra Mauro	环形山、坑
弗勒利希	Froelich	环形山、坑
弗洛里	Florey	环形山、坑
甘斯文特	Ganswindt	环形山、坑
戈尔德施米特	Goldschmidt	环形山、坑
格里索姆	Grissom	环形山、坑
格林	Green	环形山、坑
古姆	Gum	环形山、坑
哈伯	Haber	环形山、坑
哈根	Hagen	环形山、坑
哈里奥特	Harriot	环形山、坑
哈伦	Harlan	环形山、坑
哈特曼	Hartmann	环形山、坑
哈维	Harvey	环形山、坑
海代尔瓦里	Hédervári	环形山、坑
海曼斯	Heymans	环形山、坑
海因泽尔	Hainzel	环形山、坑
赫顿	Hutton	环形山、坑
赫沃尔松	Khvol'son	环形山、坑
霍普曼	Hopmann	环形山、坑
基歇尔	Kircher	环形山、坑
吉布斯	Gibbs	环形山、坑
吉尔	Gill	环形山、坑
季霍米罗夫	Tikhomirov	环形山、坑
季米里亚泽夫	Timiryazev	环形山、坑
加多姆斯基	Gadomski	环形山、坑
加夫里洛夫	Gavrilov	环形山、坑
加拉维托	Garavito	环形山、坑
金	King	环形山、坑
居里克	Guericke	环形山、坑
卡弗	Carver	环形山、坑
卡勒	Karrer	环形山、坑
卡彭特	Carpenter	环形山、坑
卡塞格林	Cassegrain	环形山、坑
