# 中華語文大辭典
# https://github.com/g0v/moedict-data-csld/blob/master/中華語文大辭典全稿-20160620.csv
# 对应中華語文知識庫（台灣版）数据；
#
# 正體字形	簡化字形	字詞流水序	音序	臺／陸特有詞	臺／陸特有音	臺灣漢拼	大陸漢拼

一哄而散	一哄而散	1000010355				yìhōnɡ’érsàn	yīhōnɡ’érsàn
一星半點兒	一星半点儿	1000010356				yìxīnɡ-bàndiǎr	yīxīnɡ-bàndiǎnr
一品紅	一品红	1000010357				yìpǐnhónɡ	yīpǐnhónɡ
一品鍋	一品锅	1000010358				yìpǐnɡuō	yīpǐnɡuō
一剎那	一刹那	1000010359				yíchànà	yīchànà
一盆糨糊	一盆糨糊	1000010360				yìpén-jiànɡhú	yīpén-jiànɡhu
一竿子打翻一條船	一竿子打翻一条船	1000010361				yì ɡānzi dǎfān yì tiáo chuán	yī ɡānzi dǎfān yī tiáo chuán
一竿子打翻一船人	一竿子打翻一船人	1000010362				yìɡānzi dǎfān yìchuánrén	yīɡānzi dǎfān yīchuánrén
一竿子插到底	一竿子插到底	1000010363				yì ɡānzi chā dàodǐ	yī ɡānzi chā dàodǐ
一律		1000010365				yílǜ	yīlǜ
一風吹	一风吹	1000010366		★		yìfēnɡchuī	yīfēnɡchuī
一怒而去	一怒而去	1000010369				yínù’érqù	yīnù’érqù
一家		1000010371				yìjiā	yījiā
一家人		1000010373				yìjiārén	yījiārén
一家子		1000010374				yìjiāzi	yījiāzi
一家之主		1000010375				yìjiāzhīzhǔ	yījiāzhīzhǔ
一家之言		1000010376				yìjiāzhīyán	yījiāzhīyán
一家之說	一家之说	1000010377				yìjiāzhīshuō	yījiāzhīshuō
一家之論	一家之论	1000010378				yìjiāzhīlùn	yījiāzhīlùn
一家花	一家花	1000010379				yìjiāhuā	yījiāhuā
一家門口一個天	一家门口一个天	1000010380		★		yì jiā ménkǒu yí ɡe tiān	yī jiā ménkǒu yī ɡe tiān
一旁		1000010381				yìpánɡ	yīpánɡ
一病不起	一病不起	1000010383				yíbìnɡbùqǐ	yībìnɡbùqǐ
一席之地	一席之地	1000010384				yìxízhīdì	yīxízhīdì
一席話	一席话	1000010385				yìxíhuà	yīxíhuà
一祖三宗	一祖三宗	1000010387				yìzǔ sānzōnɡ	yīzǔ sānzōnɡ
一神教	一神教	1000010388				yìshénjiào	yīshénjiào
一座		1000010389				yízuò	yīzuò
一起	一起	1000010390				yìqǐ	yīqǐ
一起一落	一起一落	1000010392				yìqǐ-yíluò	yīqǐ-yīluò
一根筋	一根筋	1000010394		★		yìɡēnjīn	yīɡēnjīn
一根藤上的瓜	一根藤上的瓜	1000010395		★		yì ɡēn ténɡ shànɡ de ɡuā	yī ɡēn ténɡ shànɡ de ɡuā
一哥		1000010396				yìɡē	yīɡē
一套		1000010397				yítào	yītào
一剗	一刬	1000010400				yíchàn	yīchàn
一馬不被兩鞍	一马不被两鞍	1000010401				yì mǎ bù pī liǎnɡ ān	yī mǎ bù pī liǎnɡ ān
一馬不跨兩鞍	一马不跨两鞍	1000010402				yì mǎ bú kuà liǎnɡ ān	yī mǎ bù kuà liǎnɡ ān
一馬平川	一马平川	1000010403				yìmǎ-pínɡchuān	yīmǎ-pínɡchuān
一馬當先	一马当先	1000010404				yìmǎ-dānɡxiān	yīmǎ-dānɡxiān
一草一木	一草一木	1000010405				yìcǎo-yímù	yīcǎo-yīmù
一時	一时	1000010406				yìshí	yīshí
一時一刻	一时一刻	1000010407				yìshí-yíkè	yīshí-yīkè
一時半刻	一时半刻	1000010409				yìshí-bànkè	yīshí-bànkè
一時興起	一時兴起	1000010412				yìshí-xìnɡqǐ	yīshí-xìnɡqǐ
一眨眼		1000010413				yìzhǎyǎn	yīzhǎyǎn
一晃		1000010414	1			yíhuànɡ	yīhuànɡ
一晃		1000010414	2			yìhuǎnɡ	yīhuǎnɡ
一晃眼		1000010416				yìhuǎnɡyǎn	yīhuǎnɡyǎn
一閃神	一闪神	1000010417				yìshǎnshén	yīshǎnshén
一骨碌	一骨碌	1000010418				yìɡūlu	yīɡūlu
一針一線	一针一线	1000010420				yìzhēn-yíxiàn	yīzhēn-yīxiàn
