# 臺灣華語文能力基準（TBCL）詞語表 （202504版）
# https://coct.naer.edu.tw/page.jsp?ID=41
# 三等七級14,425個詞的詞語表
#
# word	id	bopomofo	pinyin	deng	ji	situation	wfreq	sfreq

看見	273	ㄎㄢˋ ㄐㄧㄢˋ	kànjiàn	基礎	第1*級	核心詞	238	49
考試	274	ㄎㄠˇ ㄕˋ	kǎoshì	基礎	第1*級	教育、學習	56	62
課	275	ㄎㄜˋ	kè	基礎	第1*級	教育、學習	61	93
可是	276	ㄎㄜˇ ㄕˋ	kěshì	基礎	第1*級	核心詞	525	1353
空氣	277	ㄎㄨㄥ ㄑㄧˋ	kōngqì	基礎	第1*級	自然環境	77	241
快	278	ㄎㄨㄞˋ	kuài	基礎	第1*級	核心詞	479	531
快樂	279	ㄎㄨㄞˋ ㄌㄜˋ	kuàilè	基礎	第1*級	核心詞	227	194
筷子/筷	280	ㄎㄨㄞˋ ˙ㄗ / ㄎㄨㄞˋ	kuàizi / kuài	基礎	第1*級	餐飲、烹飪	10	73
累1	281	ㄌㄟˋ	lèi	基礎	第1*級	核心詞	53	121
裡/裏	282	ㄌㄧˇ	lǐ	基礎	第1*級	核心詞	2558	1463
輛	283	ㄌㄧㄤˋ	liàng	基礎	第1*級	核心詞	83	27
禮拜天	284	ㄌㄧˇ ㄅㄞˋ ㄊㄧㄢ	lǐbàitiān	基礎	第1*級	核心詞	4	12
裡面/裏面	285	ㄌㄧˇ ㄇㄧㄢˋ	lǐmiàn	基礎	第1*級	核心詞	158	1724
樓	286	ㄌㄡˊ	lóu	基礎	第1*級	日常起居	48	53
慢	287	ㄇㄢˋ	màn	基礎	第1*級	核心詞	65	91
忙	288	ㄇㄤˊ	máng	基礎	第1*級	核心詞	127	144
馬上	289	ㄇㄚˇ ㄕㄤˋ	mǎshàng	基礎	第1*級	核心詞	166	155
美	290	ㄇㄟˇ	měi	基礎	第1*級	核心詞	212	205
每	291	ㄇㄟˇ	měi	基礎	第1*級	核心詞	1388	1756
門	292	ㄇㄣˊ	mén	基礎	第1*級	核心詞	322	124
門口	293	ㄇㄣˊ ㄎㄡˇ	ménkǒu	基礎	第1*級	核心詞	70	16
麵	294	ㄇㄧㄢˋ	miàn	基礎	第1*級	餐飲、烹飪	25	44
