# 汉语拼音辞典-词语 word
# https://github.com/mapull/chinese-dictionary/blob/main/word/word.json
#
# 词语	拼音

AA制	AA zhì
一字百金	yī zì bǎi jīn
一字褒贬	yī zì bāo biǎn
一字见心	yī zì jiàn xīn
一字误	yī zì wù
一字连城	yī zì lián chéng
一字长城	yī zì cháng chéng
一字长蛇阵	yī zì cháng shé zhèn
一字马	yī zì mǎ
一宅	yī zhái
一宗	yī zōng
一宗五侯	yī zōng wǔ hóu
一官一集	yī guān yī jí
一官半职	yī guān bàn zhí
一定	yí dìng
一定不易	yī dìng bù yì
一定不移	yī dìng bù yí
一定之法	yī dìng zhī fǎ
一定之规	yī dìng zhī guī
一定之计	yī dìng zhī jì
一定之论	yī dìng zhī lùn
一宛	yī wǎn
一实	yī shí
一宠性儿	yī chǒng xìng ér
一审	yī shěn
一客不烦两家	yī kè bù fán liǎng jiā
一客不烦二主	yī kè bù fán èr zhǔ
一客不犯二主	yī kè bù fàn èr zhǔ
一客弗烦两主	yī kè fú fán liǎng zhǔ
一室生春	yī shì shēng chūn
一宫	yī gōng
一家一火	yī jiā yī huǒ
一家一计	yī jiā yī jì
一家不成，两家现在	yī jiā bù chéng，liǎng jiā xiàn zài
一家之主	yī jiā zhī zhǔ
一家之作	yī jiā zhī zuò
一家之学	yī jiā zhī xué
一家之言	yī jiā zhī yán
一家之计	yī jiā zhī jì
一家之论	yī jiā zhī lùn
一家之说	yī jiā zhī shuō
一家之辞	yī jiā zhī cí
一家之长	yī jiā zhī zhǎng
一家书	yī jiā shū
一家人不说两家话	yī jiā rén bù shuō liǎng jiā huà
一家伙	yī jiā huǒ
一家哭	yī jiā kū
一家子	yī jiā zǐ
一家无二	yī jiā wú èr
一家春	yī jiā chūn
一家眷属	yī jiā juàn shǔ
一家章句	yī jiā zhāng jù
一家老小	yī jiā lǎo xiǎo
一家言	yī jiā yán
一宿之行	yī xiǔ zhī xíng
一宿觉	yī xiǔ jué
一寒如此	yī hán rú cǐ
一察	yī chá
一寸丹	yī cùn dān
一寸丹心	yī cùn dān xīn
一寸光阴一寸金	yī cùn guāng yīn yī cùn jīn
一寸同心缕	yī cùn tóng xīn lǚ
一寸山河一寸金	yī cùn shān hé yī cùn jīn
一寸心	yī cùn xīn
一寸葚	yī cùn rèn
一寸赤心	yī cùn chì xīn
一寸阴	yī cùn yīn
一寻	yī xún
一封	yī fēng
一封轺传	yī fēng yáo chuán
一封驼	yī fēng tuó
一射之地	yī shè zhī dì
一将功成万骨枯	yī jiàng gōng chéng wàn gǔ kū
一将成功万骨枯	yī jiàng chéng gōng wàn gǔ kū
一小会	yī xiǎo huì
一小儿	yī xiǎo ér
一小撮	yī xiǎo cuō
一尔	yī ěr
一尘	yī chén
一尘不倒	yī chén bù dǎo
一尘不到	yī chén bù dào
一尘不受	yī chén bù shòu
一尘不染	yī chén bù rǎn
一尘不涉	yī chén bù shè
一尘不缁	yī chén bù zī
一就手儿	yī jiù shǒu er
一尺	yī chǐ
一尺之笔	yī chǐ zhī bǐ
一尺之面	yī chǐ zhī miàn
一尺寒光	yī chǐ hán guāng
一尺布一斗粟	yī chǐ bù yī dòu sù
一尺捶	yī chǐ chuí
一尺水十丈波	yī chǐ shuǐ shí zhàng bō
一尺水翻腾做一丈波	yī chǐ shuǐ fān téng zuò yī zhàng bō
一尺水翻腾做百丈波	yī chǐ shuǐ fān téng zuò bǎi zhàng bō
一尺水，一丈波	yī chǐ shuǐ，yī zhàng bō
一尺水，百丈波	yī chǐ shuǐ，bǎi zhàng bō
一尺面	yī chǐ miàn
一屁股	yī pì gǔ
一层楼	yī céng lóu
一屋	yī wū
一屐	yī jī
一属	yī shǔ
一履	yī lǚ
一屯	yī tún
一山不藏二虎	yī shān bù cáng èr hǔ
一岁三迁	yī suì sān qiān
一岁两魁	yī suì liǎng kuí
一岁九迁	yī suì jiǔ qiān
一岁使长百岁奴	yī suì shǐ zhǎng bǎi suì nú
一岁再赦	yī suì zài shè
一岁载赦	yī suì zài shè
一川	yī chuān
一川风月	yī chuān fēng yuè
一差两讹	yī chà liǎng é
一差两误	yī chā liǎng wù
一差二悮	yī chà èr wù
一差二误	yī chà èr wù
一差二错	yī chà èr cuò
一差半错	yī chà bàn cuò
一差百错	yī chā bǎi cuò
一己	yī jǐ
一己之私	yī jǐ zhī sī
一己之见	yī jǐ zhī jiàn
一巴掌	yī bā zhǎng
一帀	yī zā
一布	yī bù
一帆顺风	yī fān shùn fēng
一帆风	yī fān fēng
一帆风顺	yī fán fēng shùn
一带	yī dài
一带一路	yī dài yī lù
一席	yī xí
一席之地	yī xí zhī dì
一席话	yī xí huà
一干	yī gān
一干一方	yī gān yī fāng
一干二净	yī gān èr jìng
一干人犯	yī gān rén fàn
一平	yī píng
一年一回	yī nián yī huí
一年一度	yī nián yī dù
一年三秀	yī nián sān xiù
一年之计在于春	yī nián zhī jì zài yú chūn
一年之计，莫如树谷	yī nián zhī jì，mò rú shù gǔ
一年到头	yī nián dào tóu
一年半载	yī nián bàn zǎi
一年大，二年小	yī nián dà，èr nián xiǎo
一年生	yī nián shēng
一年被蛇咬，三年怕井绳	yī nián bèi shé yǎo，sān nián pà jǐng shéng
一年被蛇咬，三年怕草索	yī nián bèi shé yǎo，sān nián pà cǎo suǒ
一年被蛇咬，三年怕草绳	yī nián bèi shé yǎo，sān nián pà jǐng shéng
一年被蛇咬，十年怕井绳	yī nián bèi shé yǎo，shí nián pà jǐng shéng
一并	yī bìng
一庄	yī zhuāng
一庄荒	yī zhuāng huāng
一床两好	yī chuáng liǎng hǎo
一床象笏	yī chuáng xiàng hù
一床锦被盖过	yī chuáng jǐn bèi gài guò
一床锦被遮盖	yī chuáng jǐn bèi zhē gài
一应	yī yīng
一应俱全	yī yīng jù quán
一底一面	yī dǐ yí miàn
一度	yí dù
一度著蛇咬，怕见断井索	yī dù zhāo shé yǎo，pà jiàn duàn jǐng suǒ
一座尽倾	yī zuò jìn qīng
一座尽惊	yī zuò jìn jīng
一座皆惊	yī zuò jiē jīng
一庹	yī tuǒ
一廉如水	yī lián rú shuǐ
一廛	yī chán
一弄	yī nòng
一式	yī shì
一式一样	yī shì yī yàng
一弛一张	yī chí yī zhāng
一张一弛	yī zhāng yī chí
一弦琴	yī xián qín
一弹指	yī dàn zhǐ
一弹指间	yī tán zhǐ jiān
一弹指顷	yī tán zhǐ qǐng
一当万	yī dāng wàn
一当两便	yī dāng liǎng biàn
一当百	yī dāng bǎi
一彻万融	yī chè wàn róng
一彼一此	yī bǐ yī cǐ
一往情深	yī wǎng qíng shēn
一往无前	yī wǎng wú qián
一往深情	yī wǎng shēn qíng
一往直前	yī wǎng zhí qián
一往而深	yī wǎng ér shēn
一征	yī zhēng
一径	yī jìng
一律	yī lǜ
一律千篇	yī lǜ qiān piān
一得	yī de
一得两便	yī dé liǎng biàn
一得之功	yī dé zhī gōng
一得之愚	yī dé zhī yú
一得之见	yī dé zhī jiàn
一微尘	yī wēi chén
一德	yī dé
一德一心	yī dé yī xīn
一心	yī xīn
一心一力	yī xīn yī lì
一心一德	yī xīn yī dé
一心一意	yī xīn yī yì
一心一腹	yī xīn yī fù
一心一计	yī xīn yī jì
一心一路	yī xīn yī lù
一心两用	yī xīn liǎng yòng
一心为公	yī xīn wéi gōng
一心人	yī xīn rén
一心同体	yī xīn tóng tǐ
一心同功	yī xīn tóng gōng
一心同归	yī xīn tóng guī
一心挂两头	yī xīn guà liǎng tóu
一心无二	yī xīn wú èr
一心百君	yī xīn bǎi jūn
一快	yī kuài
一快婿	yī kuài xù
一念之差	yī niàn zhī chā
一念之私	yī niàn zhī sī
一念之误	yī niàn zhī wù
一念之错	yī niàn zhī cuò
一念通天	yī niàn tōng tiān
一忽	yī hū
一忽忽	yī hū hū
一忽溜	yī hū liū
一怀愁绪	yī huái chóu xù
一总	yī zǒng
一息	yī xī
一息万变	yī xī wàn biàn
一息千里	yī xī qiān lǐ
一息奄奄	yī xī yǎn yǎn
一息尚在	yī xī shàng zài
一息尚存	yī xī shàng cún
一恸	yī tòng
一恸几绝	yī tòng jī jué
一恸欲绝	yī tòng yù jué
一悲一喜	yī bēi yī xǐ
一惊非小	yī jīng fēi xiǎo
一意	yī yì
一意孤行	yī yì gū xíng
一憋气	yī biē qì
一戎	yī róng
一成	yì chéng
一成一旅	yī chéng yī lǚ
一成不变	yī chéng bù biàn
一成不易	yī chéng bù yì
一截	yī jié
一戳四直溜	yī chuō sì zhí liū
一房	yī fáng
一扇风	yī shān fēng
一手	yī shǒu
一手一脚	yī shǒu yī jiǎo
一手一足	yī shǒu yī zú
一手包办	yī shǒu bāo bàn
一手包揽	yī shǒu bāo lǎn
一手托两家	yī shǒu tuō liǎng jiā
一手托天	yī shǒu tuō tiān
一手把	yī shǒu bǎ
一手擎天	yī shǒu qíng tiān
一手独拍	yī shǒu dú pāi
一手独拍，虽疾无声	yī shǒu dú pāi，suī jí wú shēng
一手运承	yī shǒu yùn chéng
一手遮天	yī shǒu zhē tiān
一手障天	yī shǒu zhàng tiān
一扎脚儿	yī zā jiǎo ér
一扑心	yī pū xīn
一打	yī dǎ
一打坠咕儿	yī dǎ zhuì gū ér
一托气	yī tuō qì
一扫无遗	yī sǎo wú yí
一扫而光	yī sǎo ér guāng
一扫而尽	yī sǎo ér jìn
一扫而空	yī sǎo ér kōng
一技之善	yī jì zhī shàn
一技之微	yī jì zhī wēi
一技之长	yī jì zhī cháng
一技无成	yī jì wú chéng
一把好手	yī bǎ hǎo shǒu
一把子	yī bà zi
一把手	yī bǎ shǒu
一把抓	yī bǎ zhuā
一把抓了两头弗露	yī bǎ zhuā le liǎng tóu fú lù
一把死拿	yī bǎ sǐ ná
一把钥匙开一把锁	yī bǎ yào shi kāi yī bǎ suǒ
一把雪	yī bǎ xuě
一抔之土	yī póu zhī tǔ
一抔土	yī póu tǔ
一抔黄土	yī póu huáng tǔ
一折一磨	yī zhé yī mó
一折书	yī zhé shū
一折柱	yī zhé zhù
一抛	yī pāo
一报还一报	yī bào huán yī bào
一抹	yī mǒ
一抹到底	yī mǒ dào dǐ
一抹头	yī mǒ tóu
一抹黑	yī mā hēi
一拃	yī zhǎ
一担挑	yī dān tiāo
一拆雨	yī chāi yǔ
一拉一唱	yī lā yī chàng
一拉溜	yī lā liū
一拍一吻缝	yī pāi yī wěn fèng
一拍即合	yī pāi jí hé
一招	yī zhāo
一拥而上	yī yōng ér shàng
一拥而入	yī yōng ér rù
一拧身	yī níng shēn
一拨甩	yī bō shuǎi
一拳碎黄鹤	yī quán suì huáng hè
一指	yī zhǐ
一指禅	yī zhǐ chán
一指蔽目	yī zhǐ bì mù
一指蔽目，不见泰山	yī zhǐ bì mù，bù jiàn tài shān
一指马	yī zhǐ mǎ
一挥九制	yī huī jiǔ zhì
一挥千金	yī huī qiān jīn
一挥立就	yī huī lì jiù
一挥而就	yī huī ér jiù
一挥而成	yī huī ér chéng
一挺	yī tǐng
一损俱损，一荣俱荣	yī sǔn jù sǔn，yī róng jù róng
一捻红	yī niǎn hóng
一掇	yī duō
一掊土	yī póu tǔ
一掌	yī zhǎng
一掌堙江	yī zhǎng yīn jiāng
一掌遮天	yī zhǎng zhē tiān
一接如旧	yī jiē rú jiù
一推两搡	yī tuī liǎng sǎng
一推六二五	yī tuī liù èr wǔ
一掬	yī jū
一掴一掌血	yī guó yī zhǎng xuè
一掷	yī zhì
一掷乾坤	yī zhì qián kūn
一掷十万	yī zhì shí wàn
一掷千金	yī zhì qiān jīn
一掷天下	yī zhì tiān xià
一掷巨万	yī zhì jù wàn
一掷百万	yī zhì bǎi wàn
一揆	yī kuí
一揸	yī zhā
一揽包收	yī lǎn bāo shōu
一揽子	yī lǎn zi
一搜莱	yī sōu lái
一搤	yī è
一搭	yī dā
一搭一档	yī dā yī dàng
一搭两用	yī dā liǎng yòng
一搭两用儿	yī dā liǎng yòng ér
一撇	yī piē
一撒	yī sā
一撒手儿	yī sā shǒu ér
一撒花	yī sā huā
一撮	yī zuǒ
一攍红	yī yíng hóng
一攒	yī zǎn
一攒劲	yī zǎn jìn
一攫千金	yī jué qiān jīn
一支	yī zhī
一支半节	yī zhī bàn jié
一改故辙	yī gǎi gù zhé
一敌国	yī dí guó
一文	yī wén
一文一咏	yī wén yī yǒng
一文不值	yī wén bù zhí
一文不名	yī wén bù míng
一文半文	yī wén bàn wén
一文如命	yī wén rú mìng
一文莫名	yī wén mò míng
一文钱逼死英雄汉	yī wén qián bī sǐ yīng xióng hàn
一文钱难倒英雄汉	yī wén qián nán dǎo yīng xióng hàn
一斑	yī bān
一斑半点	yī bān bàn diǎn
一斑窥豹	yī bān kuī bào
一斗米养个恩人，一石米养个仇人	yī dǒu mǐ yǎng gè ēn rén，yī dàn mǐ yǎng gè chóu rén
一斛凉州	yī hú liáng zhōu
一斛珠	yī hú zhū
一斥不复	yī chì bù fù
一斩齐	yī zhǎn qí
一新	yī xīn
一新耳目	yī xīn ěr mù
一新面目	yī xīn miàn mù
一方之主	yī fāng zhī zhǔ
一方之任	yī fāng zhī rèn
一方之寄	yī fāng zhī jì
一方之艺	yī fāng zhī yì
一方水土养一方人	yī fāng shuǐ tǔ yǎng yī fāng rén
一旁	yī páng
一族	yī zú
一旗二鎗	yī qí èr qiāng
一无可取	yī wú kě qǔ
一无忌惮	yī wú jì dàn
一无所取	yī wú suǒ qǔ
一无所失	yī wú suǒ shī
一无所好	yī wú suǒ hào
一无所得	yī wú suǒ dé
一无所愧	yī wú suǒ kuì
一无所成	yī wú suǒ chéng
一无所有	yī wú suǒ yǒu
一无所求	yī wú suǒ qiú
一无所知	yī wú suǒ zhī
一无所能	yī wú suǒ néng
一无所获	yī wú suǒ huò
一无所见	yī wú suǒ jiàn
一无所长	yī wú suǒ cháng
一无所闻	yī wú suǒ wén
一无是处	yī wú shì chù
一无牵挂	yī wú qiān guà
一无长物	yī wú cháng wù
一日	yī rì
一日一夕	yī rì yī xī
一日一夜	yī rì yī yè
一日万几	yī rì wàn jǐ
一日万机	yī rì wàn jī
一日万里	yī rì wàn lǐ
一日三复	yī rì sān fù
一日三岁	yī rì sān suì
一日三月	yī rì sān yuè
一日三省	yī rì sān xǐng
一日三秋	yī rì sān qiū
一日三覆	yī rì sān fù
一日三，三日九	yī rì sān，sān rì jiǔ
一日不作，百日不食	yī rì bù zuò，bǎi rì bù shí
一日不稼，百日不食	yī rì bù jià，bǎi rì bù shí
一日不见鄙吝生	yī rì bú jiàn bǐ lìn shēng
一日不见，如隔三秋	yī rì bù jiàn，rú gé sān qiū
一日不识羞，三日不忍饿	yī rì bù shí xiū，sān rì bù rěn è
一日为师，终身为父	yī rì wéi shī，zhōng shēn wéi fù
一日之冬	yī rì zhī dōng
一日之谊	yī rì zhī yì
一日之长	yī rì zhī cháng
一日之雅	yī rì zhī yǎ
一日九回	yī rì jiǔ huí
一日九迁	yī rì jiǔ qiān
一日千丈	yī rì qiān zhàng
一日千里	yī rì qiān lǐ
一日夫妻百日恩	yī rì fū qī bǎi rì ēn
一日并命	yī rì bìng mìng
一日必葺	yī rì bì qì
一日杀二烈士	yī rì shā èr liè shì
一日欢	yī rì huān
一日纵敌，万世之患	yī rì zòng dí，wàn shì zhī huàn
一日纵敌，数世之患	yī rì zòng dí，shù shì zhī huàn
一日而白	yī rì ér bái
一日身死	yī rì shēn sǐ
一日门生	yī rì mén shēng
一日难再晨	yī rì nán zài chén
一旦	yí dàn
一旦一夕	yī dàn yī xī
一旦之忿	yī dàn zhī fèn
一旦夜	yí dàn yè
一旦无常	yí dàn wú cháng
一早	yī zǎo
一早起	yī zǎo qǐ
一时	yī shí
一时一刻	yī shí yī kè
一时三刻	yī shí sān kè
一时三节度	yī shí sān jié dù
一时两玉	yī shí liǎng yù
一时之冠	yī shí zhī guàn
一时之利	yī shí zhī lì
一时之权	yī shí zhī quán
一时之杰	yī shí zhī jié
一时之标	yī shí zhī biāo
一时之秀	yī shí zhī xiù
一时之选	yī shí zhī xuǎn
一时伯仲	yī shí bó zhòng
一时千载	yī shí qiān zǎi
一时半会儿	yī shí bàn huì er
一时半刻	yī shí bàn kè
一时半晌	yī shí bàn shǎng
一时半霎	yī shí bàn shà
一时口惠	yī shí kǒu huì
一时名流	yī shí míng liú
一时戏言	yī shí xì yán
一时无两	yī shí wú liǎng
一时权宜	yī shí quán yí
一时独步	yī shí dú bù
一时缓急	yī shí huǎn jí
一时虚誉	yī shí xū yù
一时间	yī shí jiān
一易之地	yī yì zhī dì
一昔之期	yī xī zhī qī
一星儿	yī xīng ér
一星半点	yī xīng bàn diǎn
一星半点儿	yī xīng bàn diǎn ér
一星终	yī xīng zhōng
一昧里	yī mèi lǐ
一是一，二是二	yī shì yī，èr shì èr
一晃	yī huǎng
一晃眼	yī huǎng yǎn
一晦一明	yī huì yī míng
一景儿	yī jǐng ér
一暝不视	yī míng bù shì
一暴十寒	yī pù shí hán
一曙	yī shǔ
一曝十寒	yī pù shí hán
一曲	yī qū
一曲一杯	yī qū yī bēi
一曲之士	yī qǔ zhī shì
一曲止喧	yī qū zhǐ xuān
一曲阳关	yī qǔ yáng guān
一替一句	yī tì yī ù
一月	yí yuè
一月三舟	yī yuè sān zhōu
一月九迁	yí yuè jiǔ qiān
一月的哀思	yí yuè de āi sī
一服	yī fù
一望	yī wàng
一望无垠	yī wàng wú yín
一望无涯	yī wàng wú yá
一望无边	yī wàng wú biān
一望无际	yī wàng wú jì
一望而知	yī wàng ér zhī
一朝	yī zhāo
一朝一夕	yī zhāo yī xī
一朝之忿	yī zhāo zhī fèn
一朝之患	yī zhāo zhī huàn
一朝千古	yī cháo qiān gǔ
一朝千里	yī zhāo qiān lǐ
一朝夕	yī zhāo xī
一朝天子一朝臣	yī cháo tiān zǐ yī cháo chén
一朝有饥	yī zhāo yǒu jī
一朝权入手，看取令行时	yī zhāo quán rù shǒu，kàn qǔ lìng xíng shí
一朝权在手，便把令来行	yī zhāo quán zài shǒu，biàn bǎ lìng lái xíng
一朝被蛇咬，三年怕井绳	yī zhāo bèi shé yǎo，sān nián pà jǐng shéng
一朝见天日	yī zhāo jiàn tiān rì
一朝马死黄金尽	yī zhāo mǎ sǐ huáng jīn jǐn
一木之枝	yī mù zhī zhī
一木破天	yī mù pò tiān
一木难扶	yī mù nán fú
一木难支	yī mù nán zhī
一本	yī běn
一本万利	yī běn wàn lì
一本万殊	yī běn wàn shū
一本十利	yī běn shí lì
一本正经	yī běn zhèng jīng
一札十行	yī zhá shí xíng
一札脚	yī zhá jiǎo
一杆子插到底	yī gān zi chā dào dǐ
一杖一条痕	yī zhàng yī tiáo hén
一杘	yī chì
一条	yī tiáo
一条冰	yī tiáo bīng
一条心	yī tiáo xīn
一条扁担两头挑	yī tiáo biǎn dàn liǎng tóu tiāo
一条枪	yī tiáo qiāng
一条线儿拴两蚂蚱	yī tiáo xiàn er shuān liǎng mà zha
一条线儿拴俩蚂蚱	yī tiáo xiàn ér shuān liǎ mà zhà
一条藤儿	yī tiáo téng er
一条鞭	yī tiáo biān
一条龙	yī tiáo lóng
一来	yī lái
一来一往	yī lái yī wǎng
一来二去	yī lái èr qù
一来二往	yī lái èr wǎng
一杯	yī bēi
一杯羊羹	yī bēi yáng gēng
一杯羹	yī bēi gēng
一板	yī bǎn
一板一眼	yī bǎn yīn yǎn
一板三眼	yī bǎn sān yǎn
一板正经	yī bǎn zhèng jīng
一枕	yī zhěn
一枕南柯	yī zhěn nán kē
一枕日红	yī zhěn rì hóng
一枕槐安	yī zhěn huái ān
一枕邯郸	yī zhěn hán dān
一枕黄梁	yī zhěn huáng liáng
一枕黄粱	yī zhěn huáng liáng
一枕黑甜	yī zhěn hēi tián
一林二虎	yī lín èr hǔ
一枝一叶总关情	yī zhī yī yè zǒng guān qíng
一枝一栖	yī zhī yī qī
一枝一翎	yī zhī yī líng
一枝一节	yī zhī yī jié
一枝之栖	yī zhī zhī qī
一枝春	yī zhī chūn
一枝春信	yī zhī chūn xìn
一枝栖	yī zhī qī
一枝桂	yī zhī guì
一枝梅	yī zhī méi
一枝独秀	yī zhī dú xiù
一枝自足	yī zhī zì zú
一枝花	yī zhī huā
一枝香	yī zhī xiāng
一枪一旗	yī qiāng yī qí
一架子	yī jià zi
一柞	yī zhà
一柱承天	yī zhù chéng tiān
一柱擎天	yī zhù qíng tiān
一柱难支	yī zhù nán zhī
一树一缣	yī shù yī jiān
一树百获	yī shù bǎi huò
一栖不两雄	yī qī bù liǎng xióng
一栖两雄	yī qī liǎng xióng
一株一缣	yī zhū yī jiān
一样	yī yàng
一根一板	yī gēn yī bǎn
一根喉咙出气	yī gēn hóu lóng chū qì
一根筋	yī gēn jīn
一桁	yī héng
一桩	yī zhuāng
一梘羹	yī jiǎn gēng
一梦华胥	yī mèng huá xū
一棍子打死	yī gùn zi dǎ sǐ
一棍打一船	yī gùn dǎ yī chuán
一棒一条痕	yī bàng yī tiáo hén
一棒一条痕，一掴一掌血	yī bàng yī tiáo hén，yī guó yī zhǎng xuè
一棒子	yī bàng zi
一棹	yī zhào
一棺之土	yī guān zhī tǔ
一椽	yī chuán
一楼一鼓	yī lóu yī gǔ
一概	yī gài
一概抹杀	yī gài mǒ shā
一概抹煞	yī gài mǒ shā
一概而言	yī gài ér yán
一概而论	yī gài ér lùn
一榜京官	yī bǎng jīng guān
一榜尽赐	yī bǎng jìn cì
一榻	yī tà
一榻横陈	yī tà héng chén
一榻胡涂	yī tà hú tú
一槌千贯	yī chuí qiān guàn
一槌定音	yī chuí dìng yīn
一模一样	yī mó yī yàng
一模二样	yī mó èr yàng
一次回路	yī cì huí lù
一次性	yí cì xìng
一次污染物	yī cì wū rǎn wù
一次能源	yī cì néng yuán
一歇歇	yī xiē xiē
一正	yī zhèng
一正压百邪	yī zhèng yā bǎi xié
一步一个脚印	yī bù yī gè jiǎo yìn
一步一推	yī bù yī tuī
一步一计	yī bù yī jì
一步一趋	yī bù yī qū
一步一鬼	yī bù yī guǐ
一步三摇	yī bù sān yáo
一步八个谎	yī bù bā gè huǎng
一步到位	yī bù dào wèi
一步登天	yī bù dēng tiān
一死一生	yī sǐ yī shēng
一死一生，乃知交情	yī sǐ yī shēng，nǎi zhī jiāo qíng
一死的	yī sǐ de
一殿	yī diàn
一毂辘	yī gǔ lù
一比	yī bǐ
一毛不拔	yī máo bù bá
一毛吞海	yī máo tūn hǎi
一毛片甲	yī máo piàn jiǎ
一毫不取	yī háo bù qǔ
